Horodateur,Communities you identify with,How often do you use OpenRefine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with OpenRefine,If other please specify,What is the average size of your dataset when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using OpenRefine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of OpenRefine are you currently using?,For how long have you been using OpenRefine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify,Which channel do you use when you need support?,How would you rate the quality of support from those channel [OpenRefine mailing list],"How would you rate the quality of support from those channel [Other online community (stackoverflow, discussion board ....)]",How would you rate the quality of support from those channel [I ask someone I know (friends or coworker)],How would you rate the quality of support from those channel [I attend formal training],How would you rate the quality of support from those channel [I learn by myself],How responsive each channel is when you seek support [OpenRefine mailing list],"How responsive each channel is when you seek support [Other online community (stackoverflow, discussion board ....)]",How responsive each channel is when you seek support [I ask someone I know (friends or coworker)],How responsive each channel is when you seek support [I attend formal training],How responsive each channel is when you seek support [I learn by myself],Do you use plugin or extension?,Which version of OpenRefine do you run?,What is your experience with bug fix and feature request [bug fix (ie OpenRefine is broken)],What is your experience with bug fix and feature request [feature request (ie add a new functionality / behaviour)],Can you provide more when you reported something or asked for support and things didn't move as whished?,Would you be interested in an hosted/cloud version of OpenRefine,Why?
29/07/2014 06:59:37,Arts data,Less than once a month,,,,,,,,,,,,,,,,,1,,,,Don't know yet. Open source maybe?,,,,,,,,,I've heard about but never used it (yet),,,,,,,,,,,,,,,,,,,I don't use plugin or extension,I don't know,,,,yes,Keeps me from doing a lot of maintenance.
31/07/2014 01:29:44,Data journalists,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,Easy transformations before I work with data in Tableau. Good clustering for catching typos and similar spellings.,Excel,,Helpful.,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Works fine on my laptop.
31/07/2014 13:47:18,For Profit / Business,A few times a month,,,,"Data transformation (one format to another), Taxonomy/Metadata, Create RDF Data Cube structure",,,,,,,,,,,,,2,,,,- Flexibility in cube structure development and the ability to view the resulting RDF in a step-wise fashion when building the structure (visually review as I go). - Ability to capture and reuse cube skeletons as JSON code.,"Custom Ruby program, text editor....unknown!",,An excellent free tool for data reconciliation and RDF cube structure development.,,,,"I have concerns for OpenRefine's future development and support. When I first discovered OpenRefine I was surprised that I had not heard of it previously because it is such a powerful tool. 

OpenRefine will feature prominently in a paper I will give in October at PhUSE 2014 ( http://www.phuse.eu/annual-conference.aspx ). I am hopeful that with additional promotion by the users, OpenRefine and plugins like the DERI RDF extension will continue to develop and grow.",,Less than 6 months,,,,,,,,,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,I found a solution before my request been answered,Not using this channel,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Our data is mostly local. When data is hosted it is in a very secure cloud or in formats that OpenRefine can not deal with directly.
31/07/2014 18:45:49,Government open data developer,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,3,,,,Good UI for reconciliation and data manipulation. Open API so we can implement our own service.,"An internally developed tool, which I am now ripping apart and turning into a reconciliation service.",,By sending them the Google video.,,,,"I'm developing a reconciliation service at the Royal Botanic Gardens, Kew, exposing our authoritative data and recommending users (internal scientists, internal database curators, external scientists) use OpenRefine to link their data to ours.

Major use cases:
- Tidying up / linking up internal data before exposing it (i.e. before it becomes government open data, etc)
- Linking non-core datasets to the core datasets
- Reconciling external data (e.g. from other botanic gardens) against our own.",,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I build against the development version,,,"I'm developing a Reconciliation Service, and have found the API documentation can be a bit lacking beyond the basics -- the live examples no longer work!

Once I have my service working, and tested internally, I aim to put it on GitHub.",no,We have reasonably skilled users (scientists etc) who can generally run software themselves.
31/07/2014 19:41:53,data managers,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,1,,,,I can perform operations in OpenRefine that I can't perform in Excel. Gives me another lens through which to examine data and improve its quality.,Excel,,Powerful data scrubber,,,,,,6 to 12 months,,,,,,,,,I got an answer and it is working,I got an answer and it is working,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Immediate answer,Immediate answer,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I have bandwidth restrictions
01/08/2014 21:59:42,For Profit / Business,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,5,,,,"Ability to script things very quickly in Jython, nice UI and useful clustering algorithms that are built in.",Pentaho Data Integration,,Spreadsheet and data exploration tool on steroids,,,,"Love the work you guys are doing it's super useful in our work we do with Non profit organizations, it's very surprising to me how few of them know about OpenRefine and how many of them could benefit.

We use OpenRefine for nearly all of our data migration tasks.",,More than 2 years,,,,,,,,,I got an answer and it is working,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,I have to wait to get my answer,Not using this channel,Not using this channel,Immediate answer,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Stats extension updated by sparkica for Refine 2.5 +",OpenRefine 2.6,"I reported something, it is fixed but not how I expected",I reported something and nothing happen,,yes,"Ability to not have to interchange project tar.gz files and collaborate on data transformations.

Hopefully address some scaling issues with more than 200k rows of data."
02/08/2014 00:26:02,Cultural Heritage Data Enthusiast,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,The power of the software. Online data conversion tools are often not very good or lack privacy for uploaded data.,Probably struggled with OpenOffice or a text editor.,,"Complex software, but very powerful. Great for cleaning up datasets prior to use in other programs.",,,,I aim to learn how to export data to XML using OpenRefine.,,6 to 12 months,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I'd like to manage my own data locally. For privacy and self-sufficiency reasons.
02/08/2014 21:22:16,Open Data / Government enthusiasts,Once or twice a week,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,2,,,,nice text clustering to clean text,python or R maybe,,data cleaning for non technical people,,,,,,Less than a month,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Immediate answer,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,I don't know,I would like to report something but I don't know how,I would like to report something but I don't know how,"more rows

online",yes,i don't like downloading software
03/08/2014 00:44:53,Cultural Heritage Data Enthusiast,A few times a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,4,,,,"Super nice graphic interface for creating pivots/facets/filters, etc, and for batch editting","excel, custom php/sql app",,Tool for easily analyziing and batch editing large data sets,,,,I would consider paying for a advanced subscription to a hosted/cloud version of this tool.,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,Not using this channel,Not using this channel,Immediate answer,,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Dont like managing my own software, files
I assume updates to software would happen faster
Sharable data
Possibility of OpenRefine API for integration into custom apps"
03/08/2014 07:45:28,Cultural Heritage Data Enthusiast,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), creating JSON commands to batch process tables",,,,,,,,,,,,,3,,,,"clustering, speed, simplicity",nothing does quite the same thing?,,"quick-powerful-data-wrangler, VERY useful.",,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"why would i want to upload my data sets to some foreign server? I much prefer a stand alone desktop application, and can see no appeal at all of a cloud version. "
04/08/2014 12:28:02,Research Purpose,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), web scraping",,,,,,,,,,,,,5,,,,"The fact that you see a preview of your expressions when you are entering them.

The fact that you can build pipelines (using my History Tools plugin).","In the past I used PipeLine Pilot, Knime, and Spotfire (still use this for the visualization of the data after refining it with OpenRefine)",,An interactive tool for data manipulation and querying.,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS, Stats extension updated by sparkica for Refine 2.5 +",OpenRefine 2.6,I reported something and nothing happen,"I reported something, it is fixed but not how I expected",,yes,"I would be interested in a a cloud version (that also implements a locking mechanism) that we can put on our own servers, making it easier to collaborate on OpenRefine projects."
04/08/2014 13:14:04,Semantic Web,Less than once a month,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,"- Graphical aid end filtering facility
- Plugin RDF of DERI",D2R Server ,,A data normalization and trasformation tool,,,,"For my experience it's really necessary to implement/integrated an easy way for ""reload/update (or resync) data on an existing project"". 
At this moment I need to create always a new project, loading new data (i.e. updated excel) and finally using external history tool (VIB-BITS) to reload history/trasformation. Really too mutch complicated and not intuitive.",,1 to 2 years,,,,,,,,,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Immediate answer,I found a solution before my request been answered,Not using this channel,Not using this channel,,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS, RDF extension - by DERI",Google Refine 2.5,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,yes,"- Enabling Collaborative works features
- Enabling Project Sharing with others users
- Remote hosting of project
- OpenRefine and plugin always updated"
06/08/2014 17:17:16,Data journalists,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,It'S more powerful than any tool to clean messy data.,Google Spreadsheet or Excel,,A wonderful wand.,,,,"Some operations could be automated, for example trim whitespaces & collapse. ",,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,I didn't get my answer / the answer was not helpful,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,No response to my question,Immediate answer,Immediate answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,It's fine on my computer.
06/08/2014 22:39:14,Open Data / Government enthusiasts,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,"It's open-source and awesome! I use OpenRefine frequently when merging data sets: looking for duplicate records, fixing spelling errors, etc. It's really efficient at not only finding issues in the data but also at correcting those issues.","?? Excel only hold 1.6 million records, making this option unfeasible for large data sets. I use R frequently for statistical analyses & summary information on a data set, but its strength is not in data cleaning tasks. ",,Great open-source tool for cleaning up messy data,,,,Thanks!! Keep up the good work!,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Open Refine is working well as-is; cloud-based versions of software often encounter down time or lag time when busy.
07/08/2014 07:48:37,Research Purpose,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,It allows me to explore data and refine it at the same time. The undo function is key. It is a great tool that I highly recommend to anyone. ,There is no other tool like it. It is breakthrough technology.,,"It allows me to sift through big, messy datasets -to play with them without fear of screwing up, all while gaining insight into how they are put together. I can use my expertise to make decisions about how to refine, group or merge datasets in order to make them much more useful. ",,,,Thank you for keeping Refine alive!,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I like the fact that it is a desktop app. Not sure what the motivation would be to shift to a hosted version.
07/08/2014 10:48:01,Librarians,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,1,,,,"Clustering
Reconciliation",None,,Software for data treatment,,,,,,Less than 6 months,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"Could be useful when I need OpenRefine in another location. At my work I didn't succeed in installing the RDF extension. With a cloud version, I only have to install it (and all the personal features) one time."
09/08/2014 15:29:18,For Profit / Business,Once or twice a week,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), data preparation before data transformation",,,,,,,,,,,,,4,,,,"GREL and regular expression support
Good support for various import format including encodings
The powerful export templating feature",own code in java or python,,an interactive data cleaning and transformation tool,,,,"One of the most frustrating things with Open Refine is that there are many little fixes, improvements and features that I would have loved to add myself (and contribute back if there was enough interest) if digging into open refine's code was not such an horrifying and time consuming experience. In my opinion, as an open source project, open refine would greatly benefit from better organizing and documenting its source code.",,6 to 12 months,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,,Immediate answer,,,Immediate answer,I don't use plugin or extension,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,"I deal with sensible data and, in most of the cases, I am contractually not authorized to upload it to a third party system. "
13/08/2014 13:56:52,Research Purpose,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,1,,,,do not kno. just got here,Excel and SPSS,,Preprocessing and data wrangling in preparation for ETL,,,,no. thanks for what sounds like a great FOSS project. Will download now and give it a go,,I've heard about but never used it (yet),,,,,,,,,Not using this channel,,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I want a local copy so I can keep my data secure
14/08/2014 10:26:39,Librarians,Less than once a month,,,,"Data transformation (one format to another), Reconciliation against other data set",,,,,,,,,,,,,1,,,,,,,,,,,,,I've heard about but never used it (yet),,,,,,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I don't use plugin or extension,I don't know,,,,,
14/08/2014 15:16:02,Junior Programer,A few times a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,1,,,,Editing directly in the cells. ,LibreOffice,,AWESOME,,,,Is it possible to export data in a JSON file ?,,Less than 6 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I have to wait to get my answer,Not using this channel,Not using this channel,No response to my question,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",I'm just starting to use it.,no,Privacy settings
15/08/2014 06:24:31,For Profit / Business,Everyday,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,"History of actions, speed, ability to store json instructions and re-apply, facets",Excel and Access,,An awesome power tool for working with data,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,,,,,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS",Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I use it with client data and prefer that it stay local.
16/08/2014 10:32:19,Open Data / Government enthusiasts,A few times a month,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,1,,,,history and GREL,VIM,,open source data transformation and normaliszation tool.,,,,,,Less than a month,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,,,,,,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
17/08/2014 08:03:28,Open Data / Government enthusiasts,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,,Google Refine 2.0,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
18/08/2014 20:30:42,Research Purpose,A few times a month,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,simple GUI interface,scripting with Python,,A simple GUI to manipulate large tabular or structured data.,,,,,,6 to 12 months,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,,,,,,"DBpedia extension - by Zemanta, Stats extension updated by sparkica for Refine 2.5 +",OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,might be convenient for temporary use of OpenRefine with very large data sets that a personal computer cannot handle very well.
18/08/2014 22:38:57,For Profit / Business,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,All of them...,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"I am able to use the refine system currently without any major IT security issues. I just don't want to jump through any additional hoops to use this great product. I know how Refine works but explaining that to some IT dude that is reading a ticket that uses the term ""Cloud"" is almost impossible.

I think it would be an awesome idea, but if it isn't broke why fix it?"
19/08/2014 02:04:17,For Profit / Business,Less than once a month,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,Relative ease-of-use,Programming,,Fancy Excel,,,,"This survey is too long. Make smaller ones, maybe more frequent.

More frequent software releases would be great. Find a sponsor / business model that works.",,Less than 6 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,I reported something and nothing happen,"I have nothing to report, I am happy how things are.",,no,Private data.
19/08/2014 12:58:17,Librarians,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,4,,,,It is very visual form messy data.,"Also run scripts, editors with regex, Pentaho kettle",,A very good tool for organising and parsing data,,,,"I like to stay with stable builds, but have also built the development version",,More than 2 years,,,,,,,,,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I build against the development version,"I reported something, it is fixed and I am happy","I have nothing to report, I am happy how things are.",,no,I can install on my computer
19/08/2014 15:55:11,Research Purpose,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,,"Excel, R",,,,,,,,Less than a month,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,Not using this channel,Not using this channel,I have to wait to get my answer,"Diff plugin- by VIB-BITS, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata)",OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,Have no need
19/08/2014 22:40:18,Research Purpose,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,,Google Refine 2.5,"I reported something, it is fixed but not how I expected","I have nothing to report, I am happy how things are.",,yes,
20/08/2014 14:50:37,Scientific reseach establishment (govt funded),Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Calling non-reconciliation web servcies (crossref etc)",,,,,,,,,,,,,4,,,,"Local data storage, extensible, easy to use, excellent feature set.","Access, Excel, various unix utils (grep, uniq etc). Hand built tools",,Data cleaning and linking environment for any tabular dataset.,,,,"My field (biodiversity informatics) is data rich, and that data is very distributed, and has been collected over a very long period of time (> 250 years): data cleaning and linking are very important to us. We have built a lot of tools that help with the manipulation of scientific names (which are complex and easy to mispell). These are simple java classes and can be dropped into refine as a jar extension, then accessed via jython operations. 
We've spent a lot of time working on data formats and standardised data fields / definitions to populate aggregators like GBIF (gbif.org), and in the future we may work on extensions to OR that have some awareness of these data standards when importing / transforming / exporting data. Making the JSON defined operations available via ""extract/apply"" fully based on column names rather than indices (used for column insertions) would be useful.
Have you thought about social features to enable the sharing of code snippets and data transformations - perhaps these best handled in github gists / wiki / mailing list but a clearly defined approach would be good. This might fit well with a hosted OR - perhaps a kind of ""graph gist"" (http://gist.neo4j.org/) for open refine - a document that encompasses a defined set of data, the operations that you want to apply and then it shows you the results, step by step.
I am also following the fledgling ""data carpentry"" movement (http://software-carpentry.org/blog/2014/05/our-first-data-carpentry-workshop.html) with interest as it is important to support the development of better data manipulation skills within my organisation (and the wider field). OR is an obvious tool and should be central to this.",,More than 2 years,,,,,,,,,I got an answer and it is working,I got an answer and it is working,Answer the question and went beyond expectation,Not using this channel,I got an answer and it is working,I have to wait to get my answer,I have to wait to get my answer,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I reported something, it is fixed and I am happy",,yes,"It would be useful to more easily demonstrate capabilities to users, but I really wouldn't want OR to develop towards an online only tool - one of the key features is that the data stays under your own control. This is important for scientists working on as yet unpublished data and for those working on data that may not be released (e.g. locations of endangered species) - I imagine that is also true for other uses of the tool (e.g. datasets manipulated in journalism)."
20/08/2014 18:09:58,For Profit / Business,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
